# Row; Col; Label
1071; 649; Pocill
694; 521; Porit
1139; 1497; Macro
888; 1541; CCA
1531; 273; Macro
1884; 698; CCA
1361; 1820; CCA
256; 1485; Macro
1627; 806; Monta
1312; 1679; CCA
308; 423; Porit
1665; 659; CCA
1014; 1227; Pocill
951; 208; CCA
284; 1427; Macro
556; 691; Porit
219; 1364; Porit
1301; 1139; CCA
1627; 979; CCA
1289; 1604; CCA
364; 1139; Porit
1389; 852; CCA
1887; 1393; Pocill
459; 1098; Porit
1256; 1382; Macro
178; 1639; Turf
217; 1418; CCA
1145; 646; Pocill
680; 255; CCA
1221; 1569; CCA
1299; 840; CCA
1258; 694; CCA
1293; 1835; CCA
1769; 949; Macro
747; 207; Macro
248; 1610; Turf
345; 1222; Porit
962; 1010; Macro
517; 1610; Macro
1017; 592; Pocill
807; 1174; Favia
1147; 166; CCA
184; 1427; CCA
1544; 245; CCA
1309; 1426; CCA
1289; 1074; CCA
923; 164; Macro
1588; 1611; Pocill
1046; 1340; Pocill
1481; 1453; Pocill
1015; 292; CCA
780; 1150; CCA
1551; 1858; Pocill
373; 516; Porit
456; 694; Porit
1157; 1016; Macro
1613; 475; Macro
1771; 1584; Pocill
146; 1610; Off
1714; 1823; Pocill
384; 912; Porit
666; 582; Porit
978; 898; Macro
1498; 822; CCA
512; 1404; CCA
1647; 918; CCA
1081; 1514; Macro
1542; 182; Macro
740; 1098; Macro
1428; 1274; Pocill
1785; 1707; CCA
1685; 1855; Pocill
954; 962; Macro
1763; 220; CCA
1688; 1006; CCA
487; 840; Porit
1243; 360; CCA
550; 1849; CCA
883; 994; Macro
392; 1514; Macro
222; 1710; Turf
1132; 1042; Macro
474; 1804; Turf
1631; 1562; Pocill
1325; 250; CCA
1594; 1170; Pocill
174; 467; Porit
380; 313; Porit
770; 839; Porit
302; 1201; Porit
202; 358; Porit
1387; 1245; Pavon
1460; 830; CCA
1347; 518; Fung
785; 448; Porit
971; 659; Pocill
1285; 746; CCA
517; 985; Porit
1652; 466; CCA
1641; 686; CCA
591; 724; Porit
1580; 1367; Pocill
180; 454; Porit
797; 1613; CCA
1037; 906; Favia
1308; 1392; CCA
1305; 1142; CCA
1710; 1695; Pocill
1645; 1147; Pocill
1599; 536; CCA
1572; 140; Macro
889; 682; Macro
1344; 503; Fung
1073; 121; CCA
853; 978; CCA
319; 1290; Porit
773; 491; Porit
161; 1590; Turf
317; 250; Pocill
1413; 792; CCA
1699; 1672; Pocill
861; 932; Macro
452; 1296; CCA
163; 302; Porit
1396; 1172; CCA
545; 398; Porit
1657; 472; CCA
1064; 1360; Pocill
478; 698; Porit
1675; 1202; Pocill
1217; 361; CCA
316; 1570; Turf
1883; 1051; Pocill
889; 684; Macro
1181; 1556; CCA
853; 865; Macro
534; 234; Pocill
1542; 574; CCA
183; 260; Pocill
1013; 1737; Pocill
1228; 1219; Favia
1098; 494; CCA
256; 1844; Turf
1766; 459; CCA
1612; 371; Macro
397; 1217; Porit
477; 1496; CCA
1299; 1805; CCA
188; 492; Porit
990; 657; Pocill
239; 1513; Acrop
1787; 337; CCA
963; 1571; Macro
1877; 260; CCA
1495; 1461; Pocill
1364; 120; Pocill
1068; 1557; Macro
569; 359; Pocill
932; 946; Macro
595; 1275; CCA
1288; 741; CCA
1664; 644; Macro
790; 1157; CCA
137; 812; Porit
1162; 1123; Macro
1333; 799; CCA
1397; 1367; Pocill
580; 606; Porit
197; 1347; Porit
1802; 1745; Pocill
1618; 934; CCA
1055; 497; Turf
578; 813; Porit
1777; 1860; Pocill
779; 739; Porit
568; 406; Porit
1298; 337; CCA
1544; 297; Macro
1031; 669; Pocill
572; 1025; Porit
891; 1495; CCA
1243; 1187; CCA
1112; 694; Pocill
1234; 603; CCA
1010; 1495; CCA
997; 452; CCA
929; 1721; Macro
584; 1336; CCA
859; 238; Macro
467; 146; Pocill
869; 1848; CCA
435; 1636; Turf
153; 771; Porit
1180; 1544; CCA
921; 1316; Pocill
1748; 1571; Pocill
1659; 990; Favia
265; 926; Porit
787; 662; Porit
1518; 269; Macro
