# Row; Col; Label
498; 1822; Porit
688; 368; Monti
755; 549; CCA
1554; 692; CCA
1170; 1674; CCA
859; 1542; CCA
341; 578; CCA
563; 616; CCA
559; 733; CCA
1095; 491; CCA
287; 970; CCA
886; 1205; CCA
948; 996; CCA
1727; 724; CCA
136; 1230; CCA
872; 900; Monti
1342; 1676; CCA
1777; 1334; Pocill
441; 1778; Porit
1216; 1365; CCA
260; 954; CCA
926; 1695; Monti
1445; 359; CCA
680; 692; CCA
990; 1702; Monti
196; 1130; CCA
1248; 1689; Monta
1813; 1543; Pocill
391; 176; CCA
713; 1514; CCA
588; 444; CCA
1053; 425; CCA
465; 174; CCA
669; 1193; CCA
1344; 380; CCA
505; 470; CCA
811; 1169; CCA
565; 1154; Pocill
950; 1585; Monti
814; 1625; CCA
137; 1407; CCA
136; 1066; CCA
1106; 450; CCA
430; 868; CCA
1144; 1078; Monti
1063; 1507; CCA
1748; 1506; Pocill
773; 1413; Monti
402; 1291; Pocill
943; 156; Turf
1375; 1073; CCA
217; 1136; Turf
558; 379; CCA
365; 1378; Pocill
848; 639; CCA
812; 573; CCA
398; 306; CCA
482; 1106; CCA
315; 727; CCA
1626; 1055; Pocill
684; 1135; CCA
1060; 1633; CCA
1285; 633; CCA
1530; 231; CCA
905; 568; CCA
270; 1510; CCA
1086; 255; Macro
801; 310; Monti
1414; 492; CCA
1186; 1377; CCA
1579; 1082; CCA
1645; 1610; Pocill
1043; 1337; Monti
1819; 896; Pocill
245; 464; CCA
1392; 1709; CCA
1655; 1612; Pocill
1479; 1569; Gardin
293; 1393; Pocill
1658; 790; CCA
1161; 1564; CCA
536; 1642; Porit
1465; 1544; CCA
1796; 942; Pocill
1580; 1067; CCA
380; 1548; Pocill
129; 152; CCA
1361; 1769; CCA
171; 776; CCA
1237; 1094; CCA
1033; 1344; CCA
1699; 134; CCA
1111; 286; Macro
558; 267; CCA
1505; 664; CCA
1396; 1794; CCA
499; 1243; CCA
1787; 172; CCA
501; 1379; Pocill
1613; 1407; Pocill
301; 751; CCA
1577; 865; CCA
1687; 1806; CCA
187; 591; Monti
622; 227; Monti
680; 532; CCA
1399; 135; CCA
135; 132; CCA
1402; 741; CCA
1340; 1779; CCA
277; 1031; CCA
1028; 1491; CCA
709; 776; CCA
1574; 1106; CCA
1828; 586; Pocill
1536; 520; CCA
630; 1394; CCA
820; 1724; Porit
1566; 684; CCA
571; 1240; Pocill
1656; 1765; CCA
1550; 1713; CCA
355; 1318; Pocill
624; 1593; Porit
1542; 1350; Monta
316; 243; CCA
422; 1291; Pocill
1521; 892; CCA
1103; 1669; CCA
863; 490; CCA
488; 589; CCA
541; 748; CCA
618; 697; CCA
1376; 1102; CCA
1260; 683; Monti
912; 1027; CCA
927; 981; CCA
1671; 1392; Pocill
1018; 1771; Porit
1319; 1197; CCA
169; 1412; CCA
405; 400; CCA
1509; 649; CCA
1367; 1693; CCA
570; 1413; Pocill
860; 1732; CCA
227; 1494; CCA
1270; 936; Monti
418; 649; CCA
462; 1007; CCA
1633; 1637; CCA
337; 1421; Pocill
654; 528; CCA
1462; 634; CCA
774; 1445; Monti
665; 1125; Pocill
265; 959; CCA
611; 216; CCA
1485; 346; CCA
124; 591; Monti
1666; 1340; Pocill
283; 1454; Pocill
817; 1507; CCA
134; 1280; CCA
318; 438; CCA
1110; 667; Monti
1627; 1314; Pocill
1663; 1606; Pocill
951; 468; CCA
992; 769; CCA
1327; 1049; CCA
381; 1741; Porit
1315; 207; Gardin
1670; 412; Macro
1818; 581; CCA
398; 1411; Pocill
1420; 1632; CCA
580; 1540; CCA
709; 895; Monti
1332; 686; CCA
1060; 130; Turf
1439; 1565; CCA
828; 1330; Monti
1216; 1198; CCA
955; 1210; CCA
1618; 123; CCA
546; 1269; CCA
1739; 1295; Pocill
1535; 1687; CCA
933; 1510; CCA
786; 305; Monti
1281; 1637; Monta
1674; 1613; Pocill
1591; 618; CCA
621; 458; CCA
611; 736; CCA
1063; 1535; CCA
1574; 1093; CCA
887; 1691; Monti
1309; 235; Gardin
